,0,1,2,3,4,5,6,7,HH,freq,rk,ra,u1,u2,k5,k8
0,3.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,31357641835.0,237391.0,237391.0,0.008417279436402421,9.720662,6.440035,2,5
1,0.0,11.0,13.0,12.0,11.0,12.0,12.0,13.0,33851766102.0,188734.0,426125.0,0.015109305743844462,5.1973996,-0.031496823,3,6
2,3.0,4.0,11.0,12.0,12.0,12.0,12.0,12.0,31357641351.0,162228.0,588353.0,0.02086149689013346,9.779303,6.387942,2,5
3,0.0,11.0,14.0,12.0,11.0,12.0,12.0,13.0,33851766586.0,158326.0,746679.0,0.026475333067780674,5.472912,0.44037625,3,6
4,0.0,12.0,13.0,12.0,11.0,12.0,12.0,13.0,33851766124.0,143776.0,890455.0,0.031573263352619584,4.789161,0.1518495,3,6
5,0.0,12.0,12.0,12.0,11.0,12.0,12.0,13.0,33851765640.0,128121.0,1018576.0,0.036116107262756506,4.3912516,-0.23999538,3,6
6,0.0,11.0,12.0,12.0,11.0,12.0,12.0,13.0,33851765618.0,118639.0,1137215.0,0.04032274363505094,4.803229,-0.503088,3,6
7,2.0,5.0,12.0,12.0,12.0,12.0,12.0,12.0,31357641856.0,110261.0,1247476.0,0.044232317493946884,9.469884,6.17584,2,5
8,4.0,3.0,11.0,12.0,12.0,12.0,12.0,12.0,31357641330.0,101321.0,1348797.0,0.047824901752725565,9.793335,6.453277,2,5
9,0.0,11.0,13.0,13.0,11.0,12.0,12.0,13.0,33851776750.0,88898.0,1437695.0,0.05097699811416008,5.22792,-0.093499176,3,6
10,2.0,5.0,11.0,12.0,12.0,12.0,12.0,12.0,31357641372.0,77721.0,1515416.0,0.05373278656054867,9.624689,5.9575467,2,5
11,1.0,10.0,14.0,13.0,11.0,12.0,12.0,13.0,33851777213.0,74545.0,1589961.0,0.05637596214676136,6.6078935,4.2689176,2,3
12,3.0,4.0,12.0,13.0,12.0,12.0,12.0,12.0,31357652483.0,70108.0,1660069.0,0.05886181302875479,9.7502,6.438254,2,5
